# Exported with SCiLS Lab Version 9.00.12376
# Export time: 2022-10-01 23:55:52
# Generated from file: Y:\Ellin\2020\Comp Project\SCiLS Files\04-17-2019_MB_Imaging_raw_data.slx
# Object Full Name: PCA_04-17-2019_MB_Imaging_raw_data
# Object ID: f523de61-e6db-4078-9bca-0461dc8e5cd8
# Object type: PCA
# Object creation time: 2021-03-17 17:47:10
#
Spot index;Coefficient 1;Coefficient 2;Coefficient 3;Coefficient 4;Coefficient 5
51;48446762.5661822;-13714037.6123373;-9660880.450756;-7920365.5892179;18911206.6393678
52;14726128.5752895;-12405718.2929832;-12273459.1305962;-7630536.09294226;19123743.3822122
53;38505047.0132413;-11170085.9806869;-8752688.70362254;-11532743.5891351;19572659.9544768
54;19226330.6851473;-13250458.331;-15159274.7135352;-10042403.0635046;20432847.8858255
55;-131730075.203584;-8996858.45788139;-18023075.5920925;-3874855.37589918;13848129.8150816
56;35934884.0077378;-15351251.309918;-16997953.7341058;-9914827.66732712;21246283.1355754
57;-226127188.964997;-6796052.59173784;-25538391.4227669;7635517.99870239;12980416.524491
58;-233423214.681705;-7044041.45405446;-25581594.0800159;7160674.47348519;13462441.3284196
59;6407840.42081568;-22598304.790626;-29582832.3784468;-2971188.37229298;5167904.42358452
60;29948499.1562709;-24002763.9836914;-28931795.9698997;-3974819.87742118;6865986.43508675
61;30735684.3412725;-23186771.0559611;-29115214.7357374;-6608426.37848706;6526004.75046026
62;30661588.7427889;-23657414.1674643;-23264790.0222148;-10285292.6377604;5806151.05128233
63;47914835.9288296;-20053436.8426717;-18729745.2644619;-9039318.83973813;4345024.78799402
64;52962031.7210314;-23422331.8472797;-19434017.0091224;-11333810.1570033;3940813.86236379
65;18998369.2287743;-22668092.5871208;-21765506.1675138;-6450861.68719582;4857589.33450664
66;32403671.1503357;-20932272.4032379;-19464136.6031866;-7159033.07815442;4161512.88579405
67;26380603.4577508;-20234144.9055943;-17698790.5171123;-4983181.56774097;4398074.22856287
68;12082329.1851467;-20007899.4680072;-20087970.5593556;-8403648.97660239;3636940.69302481
69;12628728.261067;-19685561.9878249;-20127659.1739844;-5527426.36121267;6532315.54130205
70;-487622.403012568;-17932084.5244821;-16732948.7852551;-1074848.20608821;5641002.2145571
71;11092710.9092062;-15674827.250519;-14506885.8341071;-6043788.70690919;3861776.37115996
72;8076660.31212115;-13866368.9236294;-15598775.9310071;-7014957.23706833;7456949.83858411
73;25874902.1166245;-12860540.2680609;-8402569.78912631;68674.0492815612;6621028.4471438
74;13498343.776589;-14560321.5179135;-10656824.5623952;-4288640.21912289;7162349.94356145
75;-23896.2226250168;-12268435.6258774;-10575464.5114457;-2264405.92846466;7405773.53313572
