# Exported with SCiLS Lab Version 9.00.12376
# Export time: 2022-09-26 19:42:24
# Generated from file: Y:\Ellin\2020\Comp Project\SCiLS Files\04-17-2019_MB_Imaging_raw_data.slx
# Object Full Name: PCA_04-17-2019_MB_Imaging_raw_data
# Object ID: f523de61-e6db-4078-9bca-0461dc8e5cd8
# Object type: PCA
# Object creation time: 2021-03-17 17:47:10
#
m/z;Component 1;Component 2;Component 3;Component 4;Component 5
760.58434;0.737914657809448;0.185637467306333;0.534165392994258;-0.0904274882926192;-0.175116402653844
758.56795;0.0265322449010444;0.0383356559275859;-0.0504219053292941;0.138065321747708;0.0656842036194644
782.56405;0.186330295738475;-0.348327670461462;-0.0155205567042798;0.553845791501636;-0.000851109660024829
798.54217;0.16844465378669;0.0223646833579006;0.144960080293672;0.0463573770630727;-0.139622357917021
872.55581;0.0154212008011294;0.131205456604199;-0.0586561414075515;0.0335663056721808;-0.0202441983733521
473.19477;-0.165098713290393;-0.0252547451279589;0.130584853849186;-0.150785593452543;0.0560657941491977
456.13233;-0.0643206800722717;-0.00690239820135704;0.0995257139371732;-0.0754969930303441;-0.0101813552123911
555.92245;-0.0723433737155971;-0.00936310098339395;0.282586303991517;-0.260204947226687;-0.208554165788386
734.19916;0.531315014605427;-0.313104569366603;-0.519167137613624;-0.386050375752258;0.32878514653437
731.27804;0.143873516803621;0.147793586402767;-0.420019565556633;-0.0383269797064268;-0.564640475776694
772.46013;0.109015218319609;-0.0783766323272145;-0.0708057456018256;-0.0605821454035753;0.00428840775806267
806.46721;0.132569957642723;0.297964912841867;0.107614607649469;0.288937819663823;0.631059891014633
810.45425;0.120300905679859;-0.258833157548383;-0.0618852570200616;0.529881493264868;-0.244752318687603
834.45465;0.0832088994142339;0.733335261815019;-0.337159939763935;0.173531028990687;-0.0499301414080856
844.46786;0.0239920630201457;0.0453777061296498;0.0190585311085013;0.0523162574054318;0.0877647890487574
848.51539;0.0198320973930782;-0.0510982503567539;-0.0142186732507113;0.123748740804194;-0.0556786504798943
